animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_sex,animal_bodytype,animal_color,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_name,album_file,album_base64,album_update,cDate,shelter_address,shelter_tel
1.03102E+13,板橋2014101706 ,3,50,新北市板橋動物之家,狗,F,MEDIUM,黑色,ADULT,F,T,板橋區,,OPEN,,,2014/10/20,2999/12/31,2017/7/9 23:58,2014/10/20 09:49,新北市板橋區公立動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/50/e5aac29db1f2f6394e8c363219231009.JPG,,,2017-07-09T23:59:43.283,新北市板橋區華東路1-9號,02-89662158
1.06032E+13,0320H3-2,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:34,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/f6642288bba5601e9531fac85a675aea.jpg,,,2017-07-10T00:02:27.2,高雄市鼓山區萬壽路350號,07-5519059
1.0603E+13,0301A24-6,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,棕,CHILD,F,N,鼓山區維也納,,OPEN,,,2017/3/3,2999/12/31,2017/7/9 23:58,2017/3/3 15:14,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/e84f285b70e7d28072cc85b64dee4efd.jpg,,,2017-07-10T00:02:23.29,高雄市鼓山區萬壽路350號,07-5519059
1.06032E+13,0320H3-3,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:34,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/89fb9c26e295400a2d14d731788b74a0.jpg,,,2017-07-10T00:02:27.23,高雄市鼓山區萬壽路350號,07-5519059
1.06032E+13,0320H3-4,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:35,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/a4750461030250c2958121ee10752f1b.jpg,,,2017-07-10T00:02:27.247,高雄市鼓山區萬壽路350號,07-5519059
1.06032E+13,0320H3-5,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:35,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/6e300aaec1c7e4c2abb4ad3cc5d9e2c2.jpg,,,2017-07-10T00:02:27.263,高雄市鼓山區萬壽路350號,07-5519059
1.06032E+13,0320H3-6,17,75,高雄市壽山站動物保護教育園區,狗,F,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:35,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/3a4fb66b0d8fc033c0700c878d44e81a.jpg,,,2017-07-10T00:02:27.293,高雄市鼓山區萬壽路350號,07-5519059
1.06043E+13,20170427011,6,61,,狗,M,MEDIUM,黑,ADULT,N,N,中壢區,,OPEN,,,2017/4/27,2999/12/31,2017/7/9 23:58,2017/4/27 16:37,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/d621566ccda3ea0b802639b3d7ca9432.jpg,,,2017-07-10T00:02:40.587,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765
1.06032E+13,0320H3-7,17,75,高雄市壽山站動物保護教育園區,狗,F,SMALL,黑,CHILD,F,N,大寮區前庄路,,OPEN,,,2017/3/20,2999/12/31,2017/7/9 23:58,2017/3/20 14:36,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/bbb7c2ac0e3d3dad8931d7ae458633ff.jpg,,,2017-07-10T00:02:27.31,高雄市鼓山區萬壽路350號,07-5519059
1.0606E+13,10605020006,10,67,南屯園區,狗,M,MEDIUM,黑色,CHILD,T,N,,,OPEN,,,2017/6/20,2999/12/31,2017/7/9 23:58,2017/6/3 10:20,臺中市動物之家南屯園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/67/efba2f1eadafc20ffb3523941c7735ae.png,,,2017-07-10T00:03:01.813,臺中市南屯區中台路601號,04-23850976
